0:0:0:0:2001:4:112::,0::2001:4:112:ffff,US
0:0:0:0:2001:200::,0::2001:200:ffff:ffff,JP
0:0:0:0:2001:218::,0::2001:218:21ff:ffff,US
0:0:0:0:2001:218:2200::,0::2001:218:22ff:ffff,JP
0:0:0:0:2001:218:2300::,0::2001:218:3003:ffff,US
0:0:0:0:2001:218:3004::,0::2001:218:3004:ffff,NL
0:0:0:0:2001:218:3005::,0::2001:218:ffff:ffff,US
0:0:0:0:2001:240::,0::2001:240:ffff:ffff,JP
0:0:0:0:2001:250::,0::2001:255:ffff:ffff,CN
0:0:0:0:2001:256:100::,0::2001:256:100:ffff,CN
0:0:0:0:2001:258::,0::2001:258:ffff:ffff,JP
0:0:0:0:2001:260::,0::2001:260:ffff:ffff,JP
0:0:0:0:2001:268::,0::2001:268:ffff:ffff,JP
0:0:0:0:2001:270::,0::2001:270:e9ff:ffff,KR
0:0:0:0:2001:270:ec00::,0::2001:270:ecff:ffff,KR
0:0:0:0:2001:270:ee00::,0::2001:270:f9ff:ffff,KR
0:0:0:0:2001:270:fa30::,0::2001:270:fa30:ffff,KR
0:0:0:0:2001:270:fb30::,0::2001:270:fb30:ffff,KR
0:0:0:0:2001:270:fc00::,0::2001:270:fcff:ffff,KR
0:0:0:0:2001:270:fe00::,0::2001:270:ffff:ffff,KR
0:0:0:0:2001:278::,0::2001:278:ffff:ffff,JP
0:0:0:0:2001:288::,0::2001:288:ffff:ffff,TW
0:0:0:0:2001:290::,0::2001:290:ffff:ffff,KR
0:0:0:0:2001:298::,0::2001:298:ffff:ffff,JP
0:0:0:0:2001:2a8::,0::2001:2a8:ffff:ffff,JP
0:0:0:0:2001:2c0::,0::2001:2c0:ffff:ffff,JP
0:0:0:0:2001:2d8::,0::2001:2d8:ffff:ffff,KR
0:0:0:0:2001:2e0::,0::2001:2e0:ffff:ffff,HK
0:0:0:0:2001:2e8::,0::2001:2e8:ffff:ffff,JP
0:0:0:0:2001:2f0::,0::2001:2f0:ffff:ffff,JP
0:0:0:0:2001:2f8::,0::2001:2f8:ffff:ffff,JP
0:0:0:0:2001:300::,0::2001:300:ffff:ffff,JP
0:0:0:0:2001:308::,0::2001:308:ffff:ffff,JP
0:0:0:0:2001:310::,0::2001:310:ffff:ffff,JP
0:0:0:0:2001:318::,0::2001:318:ffff:ffff,JP
