2001:253:215::,2001:253:215:ffff:ffff:ffff:ffff:ffff,142081,AS142081-15 - China Education and Research Network (CERNET)
2001:253:216::,2001:253:216:ffff:ffff:ffff:ffff:ffff,142082,AS142082-16 - China Education and Research Network (CERNET)
2001:253:217::,2001:253:217:ffff:ffff:ffff:ffff:ffff,142083,AS142083-17 - China Education and Research Network (CERNET)
2001:253:218::,2001:253:218:ffff:ffff:ffff:ffff:ffff,142084,AS142084-18 - China Education and Research Network (CERNET)
2001:253:219::,2001:253:219:ffff:ffff:ffff:ffff:ffff,142085,AS142085-19 - China Education and Research Network (CERNET)
2001:253:21a::,2001:253:21f:ffff:ffff:ffff:ffff:ffff,38272,China Education and Research Network (CERNET)
2001:253:220::,2001:253:220:ffff:ffff:ffff:ffff:ffff,142086,AS142086-20 - China Education and Research Network (CERNET)
2001:253:221::,2001:253:221:ffff:ffff:ffff:ffff:ffff,142087,AS142087-21 - China Education and Research Network (CERNET)
2001:253:222::,2001:253:222:ffff:ffff:ffff:ffff:ffff,142088,AS142088-22 - China Education and Research Network (CERNET)
2001:253:223::,2001:253:223:ffff:ffff:ffff:ffff:ffff,142089,AS142089-23 - China Education and Research Network (CERNET)
2001:253:224::,2001:253:224:ffff:ffff:ffff:ffff:ffff,142090,AS142090-24 - China Education and Research Network (CERNET)
2001:253:225::,2001:253:225:ffff:ffff:ffff:ffff:ffff,142091,AS142091-25 - China Education and Research Network (CERNET)
2001:253:226::,2001:253:226:ffff:ffff:ffff:ffff:ffff,142092,AS142092-26 - China Education and Research Network (CERNET)
2001:253:227::,2001:253:227:ffff:ffff:ffff:ffff:ffff,142093,AS142093-27 - China Education and Research Network (CERNET)
2001:253:228::,2001:253:228:ffff:ffff:ffff:ffff:ffff,142094,AS142094-28 - China Education and Research Network (CERNET)
2001:253:229::,2001:253:229:ffff:ffff:ffff:ffff:ffff,142095,AS142095-29 - China Education and Research Network (CERNET)
2001:253:22a::,2001:253:22f:ffff:ffff:ffff:ffff:ffff,38272,China Education and Research Network (CERNET)
2001:253:230::,2001:253:230:ffff:ffff:ffff:ffff:ffff,142096,AS142096-30 - China Education and Research Network (CERNET)
2001:253:231::,2001:253:231:ffff:ffff:ffff:ffff:ffff,142097,AS142097-31 - China Education and Research Network (CERNET)
2001:253:232::,2001:253:232:ffff:ffff:ffff:ffff:ffff,142098,AS142098-32 - China Education and Research Network (CERNET)
2001:253:233::,2001:253:233:ffff:ffff:ffff:ffff:ffff,142099,AS142099-33 - China Education and Research Network (CERNET)
2001:253:234::,2001:253:234:ffff:ffff:ffff:ffff:ffff,142100,AS142100-34 - China Education and Research Network (CERNET)
2001:253:235::,2001:253:235:ffff:ffff:ffff:ffff:ffff,142101,AS142101-35 - China Education and Research Network (CERNET)
2001:253:236::,2001:253:236:ffff:ffff:ffff:ffff:ffff,142102,AS142102-36 - China Education and Research Network (CERNET)
2001:253:237::,2001:253:237:ffff:ffff:ffff:ffff:ffff,38272,China Education and Research Network (CERNET)
2001:253:238::,2001:253:238:ffff:ffff:ffff:ffff:ffff,142104,AS142104-38 - China Education and Research Network (CERNET)
2001:253:239::,2001:253:239:ffff:ffff:ffff:ffff:ffff,142105,AS142105-39 - China Education and Research Network (CERNET)
2001:253:23a::,2001:253:23f:ffff:ffff:ffff:ffff:ffff,38272,China Education and Research Network (CERNET)
2001:253:240::,2001:253:240:ffff:ffff:ffff:ffff:ffff,142106,AS142106-40 - China Education and Research Network (CERNET)
2001:253:241::,2001:253:ffff:ffff:ffff:ffff:ffff:ffff,38272,China Education and Research Network (CERNET)
2001:254::,2001:254:7fff:ffff:ffff:ffff:ffff:ffff,24489,Trans-Eurasia Information Network (TEIN2) - North
2001:254:8000::,2001:254:ffff:ffff:ffff:ffff:ffff:ffff,24490,Trans-Eurasia Information Network (TEIN2) - SG
2001:255::,2001:255:ffff:ffff:ffff:ffff:ffff:ffff,38255,China Education and Research Network (CERNET)
2001:258::,2001:258:85ff:ffff:ffff:ffff:ffff:ffff,2510,FUJITSU LIMITED
2001:258:8600::,2001:258:8600:ffff:ffff:ffff:ffff:ffff,55374,FUJITSU LIMITED
2001:258:8601::,2001:258:8607:ffff:ffff:ffff:ffff:ffff,2510,FUJITSU LIMITED
2001:258:8608::,2001:258:8608:ffff:ffff:ffff:ffff:ffff,55386,FUJITSU LIMITED
2001:258:8609::,2001:258:8609:ffff:ffff:ffff:ffff:ffff,55374,FUJITSU LIMITED
2001:258:860a::,2001:258:8612:ffff:ffff:ffff:ffff:ffff,2510,FUJITSU LIMITED
2001:258:8613::,2001:258:8613:ffff:ffff:ffff:ffff:ffff,55374,FUJITSU LIMITED
2001:258:8614::,2001:258:8614:ffff:ffff:ffff:ffff:ffff,2510,FUJITSU LIMITED
2001:258:8615::,2001:258:8615:ffff:ffff:ffff:ffff:ffff,55386,FUJITSU LIMITED
2001:258:8616::,2001:258:ffff:ffff:ffff:ffff:ffff:ffff,2510,FUJITSU LIMITED
2001:260::,2001:260:ffff:ffff:ffff:ffff:ffff:ffff,2518,BIGLOBE Inc.
2001:268::,2001:268:ffff:ffff:ffff:ffff:ffff:ffff,2516,KDDI CORPORATION
2001:270:ec00::,2001:270:ecff:ffff:ffff:ffff:ffff:ffff,3786,LG DACOM Corporation
2001:270:fa30::,2001:270:fa30:ffff:ffff:ffff:ffff:ffff,3786,LG DACOM Corporation
2001:270:fb30::,2001:270:fb30:ffff:ffff:ffff:ffff:ffff,3786,LG DACOM Corporation
2001:270:fc00::,2001:270:fcff:ffff:ffff:ffff:ffff:ffff,3786,LG DACOM Corporation
2001:278::,2001:278:ffff:ffff:ffff:ffff:ffff:ffff,4725,SoftBank Corp.
2001:288::,2001:288:ffff:ffff:ffff:ffff:ffff:ffff,1659,Taiwan Academic Network (TANet) Information Center
2001:290::,2001:290:ffff:ffff:ffff:ffff:ffff:ffff,9318,SK Broadband Co Ltd
2001:298::,2001:298:ffff:ffff:ffff:ffff:ffff:ffff,9600,So-net Corporation
2001:2a8::,2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff,7670,"Enecom,Inc."
2001:2c0::,2001:2c0:ffff:ffff:ffff:ffff:ffff:ffff,2514,"NTT PC Communications, Inc."
2001:2d8::,2001:2d8:ffff:ffff:ffff:ffff:ffff:ffff,9644,SK Telecom
2001:2e0::,2001:2e0:ffff:ffff:ffff:ffff:ffff:ffff,9293,HKNet Co. Ltd.
2001:2e8::,2001:2e8:ffff:ffff:ffff:ffff:ffff:ffff,10013,"FreeBit Co.,Ltd."
2001:2f0::,2001:2f0:ffff:ffff:ffff:ffff:ffff:ffff,7514,"Computer Engineering & Consulting, Ltd."
2001:2f8::,2001:2f8:ffff:ffff:ffff:ffff:ffff:ffff,2907,"Research Organization of Information and Systems, National Institute of Informa"
